file                 size(bytes)     sender_ms     receiver_ms
----                 -----------     ---------     -----------
hello.txt                     12          2131            3491
hello.txt                     12          2027            3609
hello.txt                     12          5042            8113
hello.txt                     12          7690            8034
hello.txt                     12          2159            3570
a.zip                      2,832        363215          403676
square.png                 2,850        208002          273461
star.jpg                  12,634        782731         1474176
a.out                     16,376        295723         2842250
hello.txt                     12          1357            1819
a.zip                      2,832        263370          344975
square.png                 2,850        204007          305800
star.jpg                  12,634        761933         1369019
a.out                     16,376        308043         1766868
hello.txt                     12          2749            3423
a.zip                      2,832        384033          373961
square.png                 2,850        249395          398072
star.jpg                  12,634        965902         1925716
a.out                     16,376        261076         1738538
hello.txt                     12          1035            1543
a.zip                      2,832        248810          414105
square.png                 2,850        260573          335504
star.jpg                  12,634        889146         1527034
a.out                     16,376        322227         1991432
hello.txt                     12          1222            1673
a.zip                      2,832        323316          384354
square.png                 2,850        227452          342797
star.jpg                  12,634        901258         1261679
a.out                     16,376        238477         1664478
../sample/hello.txt            12          1229            2542
hello.txt                     12          1195            2506
a.zip                      2,832        293694          338819
square.png                 2,850        213159          313626
star.jpg                  12,634        778044         1748919
a.out                     16,376        458063         2863858
hello.txt                     12          2040            3422
a.zip                      2,832        367193          405046
square.png                 2,850        280486          347500
star.jpg                  12,634        958487         1393173
a.out                     16,376        251273         1717041
hello.txt                     12          1067            2158
a.zip                      2,832        321844          340482
square.png                 2,850        195591          285101
star.jpg                  12,634        766125         1343366
a.out                     16,376        250421         1843051
hello.txt                     12          1052            1509
a.zip                      2,832        298327          310980
square.png                 2,850        195970          285572
star.jpg                  12,634        732769         1532826
a.out                     16,376        263857         1796747
hello.txt                     12          1045            1391
a.zip                      2,832        230056          268675
square.png                 2,850        186569          276117
star.jpg                  12,634        758615         1332646
a.out                     16,376        223067         1740753
hello.txt                     12          1524            2874
a.zip                      2,832        235949          280429
square.png                 2,850        331111          391795
star.jpg                  12,634        847041         1371914
a.out                     16,376        252488         2085693
